Locus.Tag	Source	Cluster.Information	Gene.Information	New_locus_tag
ROSINTL182_05275	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS01265
ROSINTL182_05276	COG_category	[K] Transcription		ROSINTL182_RS01270
ROSINTL182_05277	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS01275
ROSINTL182_05281	COG_category	[Q] Secondary metabolites biosynthesis, transport and catabolism		ROSINTL182_RS01295
ROSINTL182_05283	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01305
ROSINTL182_05284	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01310
ROSINTL182_05284	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01310
ROSINTL182_05285	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01315
ROSINTL182_05286	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01320
ROSINTL182_05287	COG_category	[K] Transcription		ROSINTL182_RS01325
ROSINTL182_05287	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01325
ROSINTL182_05289	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01330
ROSINTL182_05293	COG_category	[X] Mobilome: prophages, transposons		ROSINTL182_RS01345
ROSINTL182_05295	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS01355
ROSINTL182_05304	COG_category	[X] Mobilome: prophages, transposons		ROSINTL182_RS01390
ROSINTL182_05307	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS01400
ROSINTL182_05309	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS01410
ROSINTL182_05309	COG_category	[R] General function prediction only		ROSINTL182_RS01410
ROSINTL182_05310	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS01415
ROSINTL182_05310	COG_category	[C] Energy production and conversion		ROSINTL182_RS01415
ROSINTL182_05313	COG_category	[C] Energy production and conversion		ROSINTL182_RS01430
ROSINTL182_05322	COG_category	[S] Function unknown		ROSINTL182_RS01470
ROSINTL182_05324	COG_category	[S] Function unknown		ROSINTL182_RS01475
ROSINTL182_05327	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01490
ROSINTL182_05328	COG_category	[R] General function prediction only		ROSINTL182_RS01495
ROSINTL182_05329	COG_category	[S] Function unknown		ROSINTL182_RS01500
ROSINTL182_05333	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS01520
ROSINTL182_05341	COG_category	[X] Mobilome: prophages, transposons		ROSINTL182_RS01555
ROSINTL182_05372	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS01685
ROSINTL182_05374	COG_category	[K] Transcription		ROSINTL182_RS01695
ROSINTL182_05375	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01700
ROSINTL182_05376	COG_category	[R] General function prediction only		ROSINTL182_RS01705
ROSINTL182_05376	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01705
ROSINTL182_05376	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS01705
ROSINTL182_05380	COG_category	[K] Transcription		ROSINTL182_RS01725
ROSINTL182_05384	COG_category	[R] General function prediction only		ROSINTL182_RS01740
ROSINTL182_05384	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS01740
ROSINTL182_05385	COG_category	[R] General function prediction only		ROSINTL182_RS01745
ROSINTL182_05386	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS01750
ROSINTL182_05387	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS01755
ROSINTL182_05390	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS01770
ROSINTL182_05391	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS01775
ROSINTL182_05391	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS01775
ROSINTL182_05392	COG_category	[R] General function prediction only		ROSINTL182_RS01780
ROSINTL182_05393	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS01785
ROSINTL182_05395	COG_category	[R] General function prediction only		ROSINTL182_RS01795
ROSINTL182_05396	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01800
ROSINTL182_05407	COG_category	[V] Defense mechanisms		ROSINTL182_RS01815
ROSINTL182_05408	COG_category	[V] Defense mechanisms		ROSINTL182_RS01820
ROSINTL182_05409	COG_category	[V] Defense mechanisms		ROSINTL182_RS01825
ROSINTL182_05415	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS01845
ROSINTL182_05418	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS01860
ROSINTL182_05418	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS01860
ROSINTL182_05424	COG_category	[K] Transcription		ROSINTL182_RS01885
ROSINTL182_05424	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01885
ROSINTL182_05425	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01890
ROSINTL182_05426	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS01895
ROSINTL182_05426	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01895
ROSINTL182_05427	COG_category	[S] Function unknown		ROSINTL182_RS01900
ROSINTL182_05433	COG_category	[V] Defense mechanisms		ROSINTL182_RS01920
ROSINTL182_05434	COG_category	[V] Defense mechanisms		ROSINTL182_RS01925
ROSINTL182_05436	COG_category	[V] Defense mechanisms		ROSINTL182_RS01930
ROSINTL182_05437	COG_category	[V] Defense mechanisms		ROSINTL182_RS01935
ROSINTL182_05438	COG_category	[V] Defense mechanisms		ROSINTL182_RS01940
ROSINTL182_05440	COG_category	[V] Defense mechanisms		ROSINTL182_RS01950
ROSINTL182_05442	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS01960
ROSINTL182_05444	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS01970
ROSINTL182_05445	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01975
ROSINTL182_05446	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS01980
ROSINTL182_05447	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01985
ROSINTL182_05448	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS01990
ROSINTL182_05450	COG_category	[S] Function unknown		ROSINTL182_RS02000
ROSINTL182_05454	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02020
ROSINTL182_05455	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02025
ROSINTL182_05456	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02030
ROSINTL182_05457	COG_category	[K] Transcription		ROSINTL182_RS02035
ROSINTL182_05458	COG_category	[R] General function prediction only		ROSINTL182_RS02040
ROSINTL182_05458	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02040
ROSINTL182_05460	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS02045
ROSINTL182_05461	COG_category	[V] Defense mechanisms		ROSINTL182_RS02050
ROSINTL182_05462	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS02055
ROSINTL182_05464	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS02060
ROSINTL182_05465	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS02065
ROSINTL182_05466	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS02070
ROSINTL182_05467	COG_category	[H] Coenzyme transport and metabolism		ROSINTL182_RS02075
ROSINTL182_05468	COG_category	[R] General function prediction only		ROSINTL182_RS02080
ROSINTL182_05469	COG_category	[G] Carbohydrate transport and metabolism		NA
ROSINTL182_05471	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS02090
ROSINTL182_05474	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02100
ROSINTL182_05475	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02105
ROSINTL182_05476	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02110
ROSINTL182_05477	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02115
ROSINTL182_05478	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02120
ROSINTL182_05479	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02125
ROSINTL182_05480	COG_category	[K] Transcription		ROSINTL182_RS02135
ROSINTL182_05481	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02140
ROSINTL182_05482	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02145
ROSINTL182_05484	COG_category	[K] Transcription		ROSINTL182_RS02155
ROSINTL182_05488	COG_category	[S] Function unknown		ROSINTL182_RS02175
ROSINTL182_05489	COG_category	[K] Transcription		ROSINTL182_RS02180
ROSINTL182_05490	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS02185
ROSINTL182_05491	COG_category	[S] Function unknown		ROSINTL182_RS02190
ROSINTL182_05492	COG_category	[I] Lipid transport and metabolism		ROSINTL182_RS02195
ROSINTL182_05494	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS02205
ROSINTL182_05495	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS02210
ROSINTL182_05497	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS02220
ROSINTL182_05501	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02235
ROSINTL182_05502	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02240
ROSINTL182_05503	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS02245
ROSINTL182_05504	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS02250
ROSINTL182_05504	COG_category	[K] Transcription		ROSINTL182_RS02250
ROSINTL182_05506	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02260
ROSINTL182_05507	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02265
ROSINTL182_05508	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02270
ROSINTL182_05510	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS02280
ROSINTL182_05511	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS02285
ROSINTL182_05514	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS02295
ROSINTL182_05515	COG_category	[E] Amino acid transport and metabolism		ROSINTL182_RS02300
ROSINTL182_05516	COG_category	[F] Nucleotide transport and metabolism		ROSINTL182_RS02305
ROSINTL182_05516	COG_category	[R] General function prediction only		ROSINTL182_RS02305
ROSINTL182_05523	COG_category	[C] Energy production and conversion		ROSINTL182_RS02325
ROSINTL182_05524	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS02330
ROSINTL182_05525	COG_category	[C] Energy production and conversion		ROSINTL182_RS02335
ROSINTL182_05526	COG_category	[C] Energy production and conversion		ROSINTL182_RS02340
ROSINTL182_05527	COG_category	[C] Energy production and conversion		ROSINTL182_RS02345
ROSINTL182_05528	COG_category	[C] Energy production and conversion		ROSINTL182_RS02350
ROSINTL182_05529	COG_category	[C] Energy production and conversion		ROSINTL182_RS02355
ROSINTL182_05531	COG_category	[C] Energy production and conversion		ROSINTL182_RS02365
ROSINTL182_05533	COG_category	[C] Energy production and conversion		ROSINTL182_RS02375
ROSINTL182_05536	COG_category	[K] Transcription		ROSINTL182_RS02390
ROSINTL182_05536	COG_category	[N] Cell motility		ROSINTL182_RS02390
ROSINTL182_05536	COG_category	[T] Signal transduction mechanisms		ROSINTL182_RS02390
ROSINTL182_05537	COG_category	[G] Carbohydrate transport and metabolism		ROSINTL182_RS02395
ROSINTL182_05539	COG_category	[O] Posttranslational modification, protein turnover, chaperones		ROSINTL182_RS02405
ROSINTL182_05540	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS02410
ROSINTL182_05544	COG_category	[V] Defense mechanisms		ROSINTL182_RS02420
ROSINTL182_05546	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS02430
ROSINTL182_05547	COG_category	[M] Cell wall/membrane/envelope biogenesis		ROSINTL182_RS02435
ROSINTL182_05547	COG_category	[V] Defense mechanisms		ROSINTL182_RS02435
ROSINTL182_05550	COG_category	[L] Replication, recombination and repair		NA
ROSINTL182_05552	COG_category	[K] Transcription		ROSINTL182_RS02455
ROSINTL182_05557	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS02480
ROSINTL182_05560	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS02495
ROSINTL182_05565	COG_category	[L] Replication, recombination and repair		ROSINTL182_RS02515
ROSINTL182_05571	COG_category	[R] General function prediction only		ROSINTL182_RS02540
ROSINTL182_05580	COG_category	[J] Translation, ribosomal structure and biogenesis		ROSINTL182_RS02590
ROSINTL182_05581	COG_category	[P] Inorganic ion transport and metabolism		ROSINTL182_RS02595
