Species	Change	Locus_tag	COG_categories	COG_numbers	KO_numbers	COG_annotations
B. hydrogenotrophica	UP	RUMHYD_RS07945				
B. hydrogenotrophica	UP	RUMHYD_RS07950				
B. hydrogenotrophica	UP	RUMHYD_RS07955				
B. hydrogenotrophica	UP	RUMHYD_RS08155				
B. hydrogenotrophica	UP	RUMHYD_RS08165	[T] Signal transduction mechanisms	COG2205	KO:K07646	K+-sensing histidine kinase KdpD
B. hydrogenotrophica	DOWN	RUMHYD_RS08480				
B. hydrogenotrophica	DOWN	RUMHYD_RS08490				
B. hydrogenotrophica	DOWN	RUMHYD_RS08495				
B. hydrogenotrophica	DOWN	RUMHYD_RS08525				
B. hydrogenotrophica	DOWN	RUMHYD_RS08530				
B. hydrogenotrophica	DOWN	RUMHYD_RS08615				
B. hydrogenotrophica	DOWN	RUMHYD_RS08650				
B. hydrogenotrophica	DOWN	RUMHYD_RS08655				
B. hydrogenotrophica	DOWN	RUMHYD_RS08660				
B. hydrogenotrophica	DOWN	RUMHYD_RS08665				
B. hydrogenotrophica	DOWN	RUMHYD_RS08680				
B. hydrogenotrophica	DOWN	RUMHYD_RS08685				
B. hydrogenotrophica	DOWN	RUMHYD_RS08690				
B. hydrogenotrophica	DOWN	RUMHYD_RS08695				
B. hydrogenotrophica	DOWN	RUMHYD_RS08700				
B. hydrogenotrophica	DOWN	RUMHYD_RS08705				
B. hydrogenotrophica	DOWN	RUMHYD_RS08710				
B. hydrogenotrophica	DOWN	RUMHYD_RS08715				
B. hydrogenotrophica	DOWN	RUMHYD_RS08765				
B. hydrogenotrophica	DOWN	RUMHYD_RS08770	[X] Mobilome: prophages, transposons	COG3646		Phage regulatory protein Rha
B. hydrogenotrophica	DOWN	RUMHYD_RS08775				
B. hydrogenotrophica	DOWN	RUMHYD_RS08780				
B. hydrogenotrophica	DOWN	RUMHYD_RS08785				
B. hydrogenotrophica	DOWN	RUMHYD_RS08790				
B. hydrogenotrophica	DOWN	RUMHYD_RS08805				
B. hydrogenotrophica	DOWN	RUMHYD_RS08810	[V] Defense mechanisms	COG2026	KO:K06218	mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system
B. hydrogenotrophica	DOWN	RUMHYD_RS08820	[V] Defense mechanisms	COG1598		Predicted nuclease of the RNAse H fold, HicB family
B. hydrogenotrophica	DOWN	RUMHYD_RS08825	[R] General function prediction only	COG1724		Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family
B. hydrogenotrophica	DOWN	RUMHYD_RS08830				
B. hydrogenotrophica	DOWN	RUMHYD_RS08835				
B. hydrogenotrophica	DOWN	RUMHYD_RS08845				
B. hydrogenotrophica	DOWN	RUMHYD_RS08850				
B. hydrogenotrophica	DOWN	RUMHYD_RS08875				
B. hydrogenotrophica	DOWN	RUMHYD_RS08880				
B. hydrogenotrophica	DOWN	RUMHYD_RS08885				
B. hydrogenotrophica	DOWN	RUMHYD_RS08890				
B. hydrogenotrophica	DOWN	RUMHYD_RS08895				
B. hydrogenotrophica	DOWN	RUMHYD_RS08905				
B. hydrogenotrophica	UP	RUMHYD_RS09855	[S] Function unknown	COG3212		Uncharacterized membrane protein YkoI
B. hydrogenotrophica	UP	RUMHYD_RS10465	[R] General function prediction only	COG5496		Predicted thioesterase
B. hydrogenotrophica	UP	RUMHYD_RS12030	[K] Transcription	COG0583		DNA-binding transcriptional regulator, LysR family
B. hydrogenotrophica	DOWN	RUMHYD_RS12655			KO:K07339	
B. hydrogenotrophica	DOWN	RUMHYD_RS12660				
B. hydrogenotrophica	DOWN	RUMHYD_RS12685				
B. hydrogenotrophica	DOWN	RUMHYD_RS12720				
B. hydrogenotrophica	DOWN	RUMHYD_RS12810	[R] General function prediction only	COG1724		Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family
B. hydrogenotrophica	DOWN	RUMHYD_RS12815	[V] Defense mechanisms	COG1598		Predicted nuclease of the RNAse H fold, HicB family
B. hydrogenotrophica	DOWN	RUMHYD_RS12830				
B. hydrogenotrophica	DOWN	RUMHYD_RS12835				
B. hydrogenotrophica	DOWN	RUMHYD_RS13165	[C] Energy production and conversion	COG1014	KO:K00180	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
B. hydrogenotrophica	DOWN	RUMHYD_RS13445	[C] Energy production and conversion	COG3426	KO:K00929	Butyrate kinase
B. hydrogenotrophica	UP	RUMHYD_RS13745	[E] Amino acid transport and metabolism - [R] General function prediction only	COG0493	KO:K00266	NADPH-dependent glutamate synthase beta chain or related oxidoreductase
B. hydrogenotrophica	DOWN	RUMHYD_RS14085	[M] Cell wall/membrane/envelope biogenesis	COG1136	KO:K02003	ABC-type lipoprotein export system, ATPase component
B. hydrogenotrophica	DOWN	RUMHYD_RS14090			KO:K02004	
B. hydrogenotrophica	UP	RUMHYD_RS14190	[V] Defense mechanisms	COG0450	KO:K03386	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)
B. hydrogenotrophica	UP	RUMHYD_RS14195	[O] Posttranslational modification, protein turnover, chaperones	COG0492	KO:K00384	Thioredoxin reductase
B. hydrogenotrophica	UP	RUMHYD_RS14430				
B. hydrogenotrophica	UP	RUMHYD_RS14480				
B. hydrogenotrophica	DOWN	RUMHYD_RS14520	[P] Inorganic ion transport and metabolism	COG2221		Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits
B. hydrogenotrophica	DOWN	RUMHYD_RS14525	[I] Lipid transport and metabolism	COG0446		NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase
B. hydrogenotrophica	DOWN	RUMHYD_RS14705	[K] Transcription - [T] Signal transduction mechanisms	COG1974	KO:K01356	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)
B. hydrogenotrophica	DOWN	RUMHYD_RS14710	[K] Transcription	COG1476		DNA-binding transcriptional regulator, XRE-family HTH domain
B. hydrogenotrophica	DOWN	RUMHYD_RS14715				
B. hydrogenotrophica	DOWN	RUMHYD_RS14725				
B. hydrogenotrophica	DOWN	RUMHYD_RS14730				
B. hydrogenotrophica	DOWN	RUMHYD_RS14735				
B. hydrogenotrophica	DOWN	RUMHYD_RS14740				
B. hydrogenotrophica	DOWN	RUMHYD_RS14775				
B. hydrogenotrophica	DOWN	RUMHYD_RS14780				
B. hydrogenotrophica	DOWN	RUMHYD_RS14785				
B. hydrogenotrophica	DOWN	RUMHYD_RS14865				
B. hydrogenotrophica	DOWN	RUMHYD_RS14870				
B. hydrogenotrophica	DOWN	RUMHYD_RS14875				
B. hydrogenotrophica	DOWN	RUMHYD_RS14920				
B. hydrogenotrophica	DOWN	RUMHYD_RS14940	[L] Replication, recombination and repair	COG1484	KO:K02315	DNA replication protein DnaC
B. hydrogenotrophica	DOWN	RUMHYD_RS14965	[L] Replication, recombination and repair	COG4974		Site-specific recombinase XerD
B. hydrogenotrophica	DOWN	RUMHYD_RS15420				
B. hydrogenotrophica	DOWN	RUMHYD_RS15990	[K] Transcription	COG1278	KO:K03704	Cold shock protein, CspA family
B. hydrogenotrophica	DOWN	RUMHYD_RS16025				
B. hydrogenotrophica	DOWN	RUMHYD_RS16035	[L] Replication, recombination and repair	COG4974		Site-specific recombinase XerD
B. hydrogenotrophica	DOWN	RUMHYD_RS16310	[E] Amino acid transport and metabolism	COG0079	KO:K00817	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
B. hydrogenotrophica	UP	RUMHYD_RS16530	[N] Cell motility	COG3225	KO:K01992	ABC-type uncharacterized transport system involved in gliding motility, auxiliary component
B. hydrogenotrophica	UP	RUMHYD_RS16535			KO:K01992	
B. hydrogenotrophica	UP	RUMHYD_RS16570	[S] Function unknown	COG3883		Uncharacterized N-terminal domain of peptidoglycan hydrolase CwlO
B. hydrogenotrophica	UP	RUMHYD_RS16715	[P] Inorganic ion transport and metabolism	COG1116		ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
B. hydrogenotrophica	UP	RUMHYD_RS17435	[M] Cell wall/membrane/envelope biogenesis - [I] Lipid transport and metabolism	COG1887		CDP-glycerol glycerophosphotransferase, TagB/SpsB family
B. hydrogenotrophica	DOWN	RUMHYD_RS17560				
B. hydrogenotrophica	DOWN	RUMHYD_RS17565				
B. hydrogenotrophica	DOWN	RUMHYD_RS17575				
B. hydrogenotrophica	DOWN	RUMHYD_RS17580				
B. hydrogenotrophica	DOWN	RUMHYD_RS17585				
B. hydrogenotrophica	DOWN	RUMHYD_RS17590	[X] Mobilome: prophages, transposons	COG3561		Phage anti-repressor protein
B. hydrogenotrophica	DOWN	RUMHYD_RS17600				
B. hydrogenotrophica	DOWN	RUMHYD_RS17605	[V] Defense mechanisms - [F] Nucleotide transport and metabolism	COG0737		2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family
B. hydrogenotrophica	UP	RUMHYD_RS17660				
B. hydrogenotrophica	DOWN	RUMHYD_RS17685				
B. hydrogenotrophica	DOWN	RUMHYD_RS17805				
B. hydrogenotrophica	UP	RUMHYD_RS18015	[X] Mobilome: prophages, transposons	COG1783		Phage terminase large subunit
F. prausnitzii	DOWN	FAEPRAA2165_RS00035	[O] Posttranslational modification, protein turnover, chaperones	COG0265	KO:K04771	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain
F. prausnitzii	UP	FAEPRAA2165_RS00050	[K] Transcription	COG2378		Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains
F. prausnitzii	UP	FAEPRAA2165_RS00055	[E] Amino acid transport and metabolism	COG0287	KO:K04517	Prephenate dehydrogenase
F. prausnitzii	UP	FAEPRAA2165_RS00060	[E] Amino acid transport and metabolism	COG0128	KO:K00800	5-enolpyruvylshikimate-3-phosphate synthase
F. prausnitzii	UP	FAEPRAA2165_RS00065	[E] Amino acid transport and metabolism	COG2876	KO:K03856	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase
F. prausnitzii	UP	FAEPRAA2165_RS00070	[E] Amino acid transport and metabolism	COG0757	KO:K03786	3-dehydroquinate dehydratase
F. prausnitzii	UP	FAEPRAA2165_RS00075	[E] Amino acid transport and metabolism	COG0169	KO:K00014	Shikimate 5-dehydrogenase
F. prausnitzii	DOWN	FAEPRAA2165_RS00100	[I] Lipid transport and metabolism	COG0204	KO:K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase
F. prausnitzii	UP	FAEPRAA2165_RS00120	[V] Defense mechanisms	COG0534		Na+-driven multidrug efflux pump
F. prausnitzii	UP	FAEPRAA2165_RS00125	[S] Function unknown	COG3247		Uncharacterized membrane protein HdeD, DUF308 family
F. prausnitzii	UP	FAEPRAA2165_RS00130	[R] General function prediction only	COG2509	KO:K07137	Uncharacterized FAD-dependent dehydrogenase
F. prausnitzii	DOWN	FAEPRAA2165_RS00185				
F. prausnitzii	DOWN	FAEPRAA2165_RS00275	[K] Transcription	COG1595	KO:K03088	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family
F. prausnitzii	DOWN	FAEPRAA2165_RS00285				
F. prausnitzii	DOWN	FAEPRAA2165_RS00330				
F. prausnitzii	DOWN	FAEPRAA2165_RS00410				
F. prausnitzii	DOWN	FAEPRAA2165_RS00445				
F. prausnitzii	DOWN	FAEPRAA2165_RS00450	[G] Carbohydrate transport and metabolism	COG1820	KO:K01443	N-acetylglucosamine-6-phosphate deacetylase
F. prausnitzii	DOWN	FAEPRAA2165_RS00455	[G] Carbohydrate transport and metabolism	COG0363	KO:K02564	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
F. prausnitzii	UP	FAEPRAA2165_RS00490	[K] Transcription	COG1959		DNA-binding transcriptional regulator, IscR family
F. prausnitzii	DOWN	FAEPRAA2165_RS00505	[M] Cell wall/membrane/envelope biogenesis	COG0463		Glycosyltransferase involved in cell wall bisynthesis
F. prausnitzii	UP	FAEPRAA2165_RS00545	[C] Energy production and conversion	COG1757		Na+/H+ antiporter NhaC
F. prausnitzii	UP	FAEPRAA2165_RS00705	[E] Amino acid transport and metabolism	COG0548	KO:K00930	Acetylglutamate kinase
F. prausnitzii	UP	FAEPRAA2165_RS00710	[E] Amino acid transport and metabolism	COG1364	KO:K00620	N-acetylglutamate synthase (N-acetylornithine aminotransferase)
F. prausnitzii	UP	FAEPRAA2165_RS00715	[E] Amino acid transport and metabolism	COG0002	KO:K00145	N-acetyl-gamma-glutamylphosphate reductase
F. prausnitzii	UP	FAEPRAA2165_RS00810				
F. prausnitzii	UP	FAEPRAA2165_RS00815	[L] Replication, recombination and repair - [K] Transcription	COG1061	KO:K01156	Superfamily II DNA or RNA helicase
F. prausnitzii	DOWN	FAEPRAA2165_RS00835				
F. prausnitzii	DOWN	FAEPRAA2165_RS00845				
F. prausnitzii	DOWN	FAEPRAA2165_RS00850			KO:K06919	
F. prausnitzii	DOWN	FAEPRAA2165_RS00910				
F. prausnitzii	UP	FAEPRAA2165_RS01015	[L] Replication, recombination and repair	COG0188	KO:K02469	DNA gyrase/topoisomerase IV, subunit A
F. prausnitzii	UP	FAEPRAA2165_RS01020	[L] Replication, recombination and repair	COG0187	KO:K02470	DNA gyrase/topoisomerase IV, subunit B
F. prausnitzii	UP	FAEPRAA2165_RS01025				
F. prausnitzii	UP	FAEPRAA2165_RS01030	[L] Replication, recombination and repair	COG1195	KO:K03629	Recombinational DNA repair ATPase RecF
F. prausnitzii	UP	FAEPRAA2165_RS01035	[J] Translation, ribosomal structure and biogenesis	COG2501	KO:K14761	Ribosome-associated protein YbcJ, S4-like RNA binding protein
F. prausnitzii	UP	FAEPRAA2165_RS01115				
F. prausnitzii	DOWN	FAEPRAA2165_RS01210				
F. prausnitzii	UP	FAEPRAA2165_RS01240	[V] Defense mechanisms	COG0534		Na+-driven multidrug efflux pump
F. prausnitzii	UP	FAEPRAA2165_RS01275	[V] Defense mechanisms	COG0534		Na+-driven multidrug efflux pump
F. prausnitzii	UP	FAEPRAA2165_RS01355	[E] Amino acid transport and metabolism	COG1045	KO:K00640	Serine acetyltransferase
F. prausnitzii	DOWN	FAEPRAA2165_RS01465	[J] Translation, ribosomal structure and biogenesis	COG0480	KO:K02355	Translation elongation factor EF-G, a GTPase
F. prausnitzii	DOWN	FAEPRAA2165_RS01630				
F. prausnitzii	DOWN	FAEPRAA2165_RS01645				
F. prausnitzii	UP	FAEPRAA2165_RS01655				
F. prausnitzii	UP	FAEPRAA2165_RS01660				
F. prausnitzii	UP	FAEPRAA2165_RS01670				
F. prausnitzii	DOWN	FAEPRAA2165_RS01900				
F. prausnitzii	DOWN	FAEPRAA2165_RS01905				
F. prausnitzii	DOWN	FAEPRAA2165_RS01910	[F] Nucleotide transport and metabolism	COG0461	KO:K00762	Orotate phosphoribosyltransferase
F. prausnitzii	UP	FAEPRAA2165_RS01915	[V] Defense mechanisms	COG0534		Na+-driven multidrug efflux pump
F. prausnitzii	DOWN	FAEPRAA2165_RS01975				
F. prausnitzii	UP	FAEPRAA2165_RS02030			KO:K02968	
F. prausnitzii	DOWN	FAEPRAA2165_RS02085	[L] Replication, recombination and repair	COG4974		Site-specific recombinase XerD
F. prausnitzii	DOWN	FAEPRAA2165_RS02090	[V] Defense mechanisms	COG2337	KO:K03497 - KO:K07171	mRNA-degrading endonuclease, toxin component of the MazEF toxin-antitoxin module
F. prausnitzii	DOWN	FAEPRAA2165_RS02110				
F. prausnitzii	UP	FAEPRAA2165_RS02205	[O] Posttranslational modification, protein turnover, chaperones	COG4930	KO:K01338	Predicted ATP-dependent Lon-type protease
F. prausnitzii	UP	FAEPRAA2165_RS02210				
F. prausnitzii	DOWN	FAEPRAA2165_RS02365				
F. prausnitzii	DOWN	FAEPRAA2165_RS02390				
F. prausnitzii	DOWN	FAEPRAA2165_RS02395	[K] Transcription	COG1476		DNA-binding transcriptional regulator, XRE-family HTH domain
F. prausnitzii	DOWN	FAEPRAA2165_RS02400			KO:K19302	
F. prausnitzii	UP	FAEPRAA2165_RS02450	[J] Translation, ribosomal structure and biogenesis	COG0103	KO:K02996	Ribosomal protein S9
F. prausnitzii	UP	FAEPRAA2165_RS02455	[J] Translation, ribosomal structure and biogenesis	COG0102	KO:K02871	Ribosomal protein L13
F. prausnitzii	DOWN	FAEPRAA2165_RS02570				
F. prausnitzii	DOWN	FAEPRAA2165_RS02575	[J] Translation, ribosomal structure and biogenesis	COG0742		16S rRNA G966 N2-methylase RsmD
F. prausnitzii	DOWN	FAEPRAA2165_RS02585			KO:K01190	
F. prausnitzii	DOWN	FAEPRAA2165_RS02590				
F. prausnitzii	DOWN	FAEPRAA2165_RS02595				
F. prausnitzii	UP	FAEPRAA2165_RS02610	[J] Translation, ribosomal structure and biogenesis	COG0215	KO:K01883	Cysteinyl-tRNA synthetase
F. prausnitzii	DOWN	FAEPRAA2165_RS02775	[I] Lipid transport and metabolism	COG1307		Fatty acid-binding protein DegV (function unknown)
F. prausnitzii	UP	FAEPRAA2165_RS02825				
F. prausnitzii	DOWN	FAEPRAA2165_RS03055	[M] Cell wall/membrane/envelope biogenesis	COG1210	KO:K00963	UTP-glucose-1-phosphate uridylyltransferase
F. prausnitzii	DOWN	FAEPRAA2165_RS03205	[H] Coenzyme transport and metabolism	COG0351	KO:K00941	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
F. prausnitzii	UP	FAEPRAA2165_RS03245	[J] Translation, ribosomal structure and biogenesis	COG0050	KO:K02358	Translation elongation factor EF-Tu, a GTPase
F. prausnitzii	DOWN	FAEPRAA2165_RS03520				
F. prausnitzii	DOWN	FAEPRAA2165_RS03620				
F. prausnitzii	DOWN	FAEPRAA2165_RS03765				
F. prausnitzii	DOWN	FAEPRAA2165_RS03770	[V] Defense mechanisms	COG1131	KO:K01990	ABC-type multidrug transport system, ATPase component
F. prausnitzii	DOWN	FAEPRAA2165_RS03775			KO:K01992	
F. prausnitzii	DOWN	FAEPRAA2165_RS03780				
F. prausnitzii	DOWN	FAEPRAA2165_RS03875	[E] Amino acid transport and metabolism	COG1247	KO:K03823	L-amino acid N-acyltransferase YncA
F. prausnitzii	DOWN	FAEPRAA2165_RS03880	[O] Posttranslational modification, protein turnover, chaperones	COG0691	KO:K03664	tmRNA-binding protein
F. prausnitzii	UP	FAEPRAA2165_RS03885	[L] Replication, recombination and repair	COG0350	KO:K00567	O6-methylguanine-DNA--protein-cysteine methyltransferase
F. prausnitzii	UP	FAEPRAA2165_RS03890	[J] Translation, ribosomal structure and biogenesis	COG0072	KO:K01890	Phenylalanyl-tRNA synthetase beta subunit
F. prausnitzii	UP	FAEPRAA2165_RS03895	[J] Translation, ribosomal structure and biogenesis	COG0016	KO:K01889	Phenylalanyl-tRNA synthetase alpha subunit
F. prausnitzii	DOWN	FAEPRAA2165_RS03950	[F] Nucleotide transport and metabolism	COG0813	KO:K03784	Purine-nucleoside phosphorylase
F. prausnitzii	DOWN	FAEPRAA2165_RS03955	[M] Cell wall/membrane/envelope biogenesis	COG0739		Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain
F. prausnitzii	DOWN	FAEPRAA2165_RS04135	[G] Carbohydrate transport and metabolism	COG1216		Glycosyltransferase, GT2 family
F. prausnitzii	DOWN	FAEPRAA2165_RS04340	[R] General function prediction only	COG2270	KO:K06902	MFS-type transporter involved in bile tolerance, Atg22 family
F. prausnitzii	DOWN	FAEPRAA2165_RS04345				
F. prausnitzii	DOWN	FAEPRAA2165_RS04355	[I] Lipid transport and metabolism	COG1307		Fatty acid-binding protein DegV (function unknown)
F. prausnitzii	UP	FAEPRAA2165_RS04360	[V] Defense mechanisms	COG1132	KO:K06148	ABC-type multidrug transport system, ATPase and permease component
F. prausnitzii	UP	FAEPRAA2165_RS04365	[C] Energy production and conversion - [O] Posttranslational modification, protein turnover, chaperones	COG4988		ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
F. prausnitzii	UP	FAEPRAA2165_RS04370	[K] Transcription	COG1321		Mn-dependent transcriptional regulator, DtxR family
F. prausnitzii	UP	FAEPRAA2165_RS04375				
F. prausnitzii	UP	FAEPRAA2165_RS04380	[P] Inorganic ion transport and metabolism	COG0370	KO:K04759	Fe2+ transport system protein B
F. prausnitzii	UP	FAEPRAA2165_RS04385	[P] Inorganic ion transport and metabolism	COG1918	KO:K04758	Fe2+ transport system protein FeoA
F. prausnitzii	UP	FAEPRAA2165_RS04390	[P] Inorganic ion transport and metabolism	COG1918	KO:K04758	Fe2+ transport system protein FeoA
F. prausnitzii	UP	FAEPRAA2165_RS04420	[E] Amino acid transport and metabolism	COG0410	KO:K01996	ABC-type branched-chain amino acid transport system, ATPase component
F. prausnitzii	UP	FAEPRAA2165_RS04425	[E] Amino acid transport and metabolism	COG0411	KO:K01995	ABC-type branched-chain amino acid transport system, ATPase component
F. prausnitzii	UP	FAEPRAA2165_RS04430	[E] Amino acid transport and metabolism	COG4177	KO:K01998	ABC-type branched-chain amino acid transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS04435	[E] Amino acid transport and metabolism	COG0559	KO:K01997	Branched-chain amino acid ABC-type transport system, permease component
F. prausnitzii	UP	FAEPRAA2165_RS04440	[E] Amino acid transport and metabolism	COG0683	KO:K01999	ABC-type branched-chain amino acid transport system, periplasmic component
F. prausnitzii	UP	FAEPRAA2165_RS04450	[G] Carbohydrate transport and metabolism	COG0148	KO:K01689	Enolase
F. prausnitzii	DOWN	FAEPRAA2165_RS04540	[E] Amino acid transport and metabolism	COG1113	KO:K03294	L-asparagine transporter and related permeases
